snapshot,Bramford,Bramley,Daines,Deeside,Denny/Bonnybridge,Errochty,Feckenham,Harker,Keadby,Kemsley,London,Lovedean,Melksham,Neilston,Pelham,Penwortham,Ratcliffe,S.W.Penisula,Sellindge,Stella West,Strathaven,Sundon/East Claydon,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Torness,Walpole
2050-02-28 15:00:00,33.9770556,68.51943361564398,54.1632936,83.21040839999999,10.270547999999998,0.7618848,35.5677936,10.5179052,255.8797116,215.094006,97.48267440000001,80.578512,156.0047208,11.5595688,44.79615,18.515172,122.7414768,73.5308196,5.057327999999999,52.3716612,6.041436,67.5008232,19.735158,117.22226400000001,14.18325,102.29305799999999
2050-02-28 16:00:00,43.3136556,81.29514,77.28933359999999,135.6390084,10.270547999999998,0.7618848,35.5677936,14.2286052,347.53425887446707,301.279716,97.48267440000001,109.877652,270.9885408,11.5595688,60.690599999999996,19.951572,122.7414768,73.5308196,5.057327999999999,52.3716612,6.041436,67.5008232,19.735158,117.22226400000001,14.18325,141.617928
2050-02-28 17:00:00,43.3136556,113.52864,98.7635136,184.3227084,10.270547999999998,0.7618848,35.5677936,17.6742552,366.9630216,301.279716,106.55251440000002,109.877652,377.7592308,11.5595688,60.690599999999996,21.285372,171.1806468,93.6489696,5.057327999999999,52.3716612,6.041436,83.57311320000001,20.846657999999998,118.46714400000002,14.18325,141.617928
2050-02-28 18:00:00,43.3136556,113.52864,98.7635136,184.3227084,10.270547999999998,0.7618848,35.5677936,17.6742552,366.9630216,301.279716,106.55251440000002,109.877652,377.7592308,11.5595688,60.690599999999996,21.285372,171.1806468,93.6489696,5.057327999999999,52.3716612,6.041436,83.57311320000001,20.846657999999998,118.46714400000002,14.18325,141.617928
2050-02-28 19:00:00,43.3136556,113.52864,98.7635136,184.3227084,10.270547999999998,0.7618848,35.5677936,17.6742552,366.9630216,301.279716,106.55251440000002,109.877652,377.7592308,11.5595688,60.690599999999996,21.285372,171.1806468,93.6489696,5.057327999999999,52.3716612,6.041436,83.57311320000001,20.846657999999998,118.46714400000002,14.18325,141.617928
2050-02-28 20:00:00,43.3136556,113.52864,98.7635136,184.3227084,10.270547999999998,0.7618848,35.5677936,17.6742552,366.9630216,301.279716,106.55251440000002,109.877652,377.7592308,11.5595688,60.690599999999996,21.285372,171.1806468,93.6489696,5.057327999999999,52.3716612,6.041436,83.57311320000001,20.846657999999998,118.46714400000002,14.18325,141.617928
2050-02-28 21:00:00,43.3136556,113.52864,98.7635136,184.3227084,10.270547999999998,0.7618848,35.5677936,17.6742552,366.9630216,301.279716,106.55251440000002,109.877652,377.7592308,11.5595688,60.690599999999996,21.285372,171.1806468,93.6489696,5.057327999999999,52.3716612,6.041436,83.57311320000001,20.846657999999998,118.46714400000002,14.18325,141.617928
2050-02-28 22:00:00,43.3136556,113.52864,98.7635136,184.3227084,10.270547999999998,0.7618848,35.5677936,17.6742552,366.9630216,301.279716,106.55251440000002,109.877652,377.7592308,11.5595688,60.690599999999996,21.285372,171.1806468,93.6489696,5.057327999999999,52.3716612,6.041436,83.57311320000001,20.846657999999998,118.46714400000002,14.18325,141.617928
2050-02-28 23:00:00,43.3136556,113.52864,77.28933359999999,135.6390084,10.270547999999998,0.7618848,35.5677936,14.2286052,329.07457061512906,301.279716,106.55251440000002,109.877652,270.9885408,11.5595688,60.690599999999996,19.951572,122.7414768,73.5308196,5.057327999999999,52.3716612,6.041436,67.5008232,19.735158,117.22226400000001,14.18325,141.617928
2050-03-01 00:00:00,33.9770556,81.29514,77.28933359999999,83.21040839999999,10.270547999999998,0.7618848,35.5677936,10.5179052,255.8797116,215.094006,97.48267440000001,80.578512,270.9885408,11.5595688,44.79615,18.515172,122.7414768,73.5308196,5.057327999999999,52.3716612,6.041436,67.5008232,19.735158,117.22226400000001,14.18325,102.29305799999999
