name,load,BritNed,EastWest,Moyle,Nemo,IFA,IFA2
2020-01-09 01:00:00,28558.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-09 02:00:00,28070.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-09 03:00:00,27488.0,193.0,-0.0,43.5,207.0,-0.0,1.0
2020-01-09 04:00:00,27139.5,623.5,-0.0,107.5,-0.0,-0.0,1.0
2020-01-09 05:00:00,26845.0,593.5,9.5,214.5,-0.0,1054.5,1.0
2020-01-09 06:00:00,27198.0,851.0,-0.0,10.5,805.0,120.5,1.0
2020-01-09 07:00:00,31976.5,889.0,-0.0,-0.0,-0.0,717.5,1.0
2020-01-09 08:00:00,38345.0,467.0,142.0,162.0,-0.0,580.5,1.0
2020-01-09 09:00:00,40390.0,155.5,439.5,423.5,295.5,-0.0,1.0
2020-01-09 10:00:00,41562.0,-0.0,535.5,455.0,-0.0,-0.0,1.0
2020-01-09 11:00:00,41665.5,-0.0,535.5,455.0,-0.0,-0.0,1.0
2020-01-09 12:00:00,42112.0,-0.0,535.5,455.0,-0.0,-0.0,1.0
2020-01-09 13:00:00,42318.5,-0.0,535.5,455.0,-0.0,-0.0,1.0
2020-01-09 14:00:00,41945.0,-0.0,535.5,455.0,-0.0,-0.0,1.0
2020-01-09 15:00:00,41358.5,-0.0,536.0,455.0,-0.0,-0.0,1.0
2020-01-09 16:00:00,41848.0,-0.0,535.5,455.0,-0.0,-0.0,1.0
2020-01-09 17:00:00,44246.0,-0.0,536.0,455.0,-0.0,-0.0,1.0
2020-01-09 18:00:00,44990.0,-0.0,535.5,455.0,-0.0,-0.0,1.0
2020-01-09 19:00:00,44200.0,-0.0,492.5,444.5,-0.0,-0.0,1.0
2020-01-09 20:00:00,42897.0,-0.0,274.0,336.0,-0.0,-0.0,1.0
2020-01-09 21:00:00,40210.0,-0.0,24.5,215.5,-0.0,-0.0,1.0
2020-01-09 22:00:00,36797.5,-0.0,-0.0,73.5,-0.0,-0.0,1.0
2020-01-09 23:00:00,32626.5,-0.0,-0.0,129.0,-0.0,-0.0,1.0
2020-01-10 00:00:00,28892.5,-0.0,-0.0,358.0,-0.0,-0.0,1.0
2020-01-10 01:00:00,27983.0,-0.0,23.5,298.5,-0.0,-0.0,1.0
2020-01-10 02:00:00,27842.0,-0.0,251.0,247.0,-0.0,-0.0,1.0
2020-01-10 03:00:00,27302.5,-0.0,497.0,424.5,-0.0,-0.0,1.0
2020-01-10 04:00:00,27606.0,-0.0,535.0,441.5,-0.0,-0.0,1.0
2020-01-10 05:00:00,27284.0,-0.0,514.5,456.0,-0.0,-0.0,1.0
2020-01-10 06:00:00,27883.0,-0.0,281.5,428.0,-0.0,-0.0,1.0
2020-01-10 07:00:00,32743.5,-0.0,73.0,241.5,-0.0,-0.0,1.0
2020-01-10 08:00:00,38978.0,194.5,214.0,384.5,-0.0,-0.0,1.0
2020-01-10 09:00:00,40634.5,-0.0,237.5,174.5,-0.0,-0.0,1.0
2020-01-10 10:00:00,41557.0,-0.0,123.0,1.5,-0.0,-0.0,1.0
2020-01-10 11:00:00,42249.5,199.5,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-10 12:00:00,43247.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-10 13:00:00,43583.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-10 14:00:00,42932.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-10 15:00:00,42118.5,144.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-10 16:00:00,41183.0,1.5,-0.0,-0.0,644.5,-0.0,1.0
2020-01-10 17:00:00,43539.5,-0.0,-0.0,40.0,394.5,-0.0,1.0
2020-01-10 18:00:00,45308.5,-0.0,-0.0,-0.0,38.5,-0.0,1.0
2020-01-10 19:00:00,43939.5,-0.0,-0.0,-0.0,31.5,-0.0,1.0
2020-01-10 20:00:00,42289.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-10 21:00:00,39451.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-10 22:00:00,36063.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-10 23:00:00,32715.5,-0.0,-0.0,-0.0,-0.0,955.5,1.0
2020-01-11 00:00:00,29560.5,-0.0,-0.0,-0.0,-0.0,77.0,1.0
2020-01-11 01:00:00,28565.5,-0.0,-0.0,-0.0,-0.0,810.5,1.0
2020-01-11 02:00:00,27849.5,-0.0,-0.0,-0.0,282.5,1408.0,1.0
2020-01-11 03:00:00,26910.0,99.5,-0.0,-0.0,402.0,1421.0,1.0
2020-01-11 04:00:00,26678.5,352.5,-0.0,-0.0,267.5,1422.0,1.0
2020-01-11 05:00:00,26630.0,256.0,-0.0,-0.0,606.0,1422.0,1.0
2020-01-11 06:00:00,26606.5,216.5,-0.0,-0.0,612.0,1420.0,1.0
2020-01-11 07:00:00,28091.5,-0.0,-0.0,-0.0,521.0,1422.0,1.0
2020-01-11 08:00:00,30372.5,-0.0,-0.0,-0.0,192.5,1413.0,1.0
2020-01-11 09:00:00,33495.5,-0.0,-0.0,-0.0,-0.0,533.5,1.0
2020-01-11 10:00:00,36597.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-11 11:00:00,38314.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-11 12:00:00,38402.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
