,Dinorwig,Ffestiniog,Cruachan,Foyers
88,9099.64587296147,1400.0378722680225,2579.501711297462,1898.0948116522097
89,9099.645872561527,1400.037871726102,2070.8313516744324,1576.371575860655
90,9099.645872164981,1400.0378711825047,1562.1609920448773,1273.9312169732857
91,9099.645871767914,1400.0378706410704,1053.4906324033398,1057.7780229806597
92,9099.645871373772,1400.0378701006807,544.820272753476,989.2556653315844
93,9099.64587097168,1400.0378695619918,36.14991310247768,1065.0749354642392
94,9099.645869301834,1400.0378678113123,2.0892416063239264e-06,1165.223199280036
95,9099.645862854004,1400.0378609256386,135.4839559805647,1277.6704917840134
96,9099.645857510923,1400.0378551258907,306.5370692586645,1397.8763518562728
97,9099.645852197074,1400.0378493213345,535.8101156256653,1502.9300592459042
98,9099.645846934558,1400.03784352585,661.3757324456913,1607.5290496683122
99,9099.645841678124,1400.0378377297982,841.1570092790245,1711.635896492795
100,9099.645836429736,1400.0378319280767,1043.4737288760625,1812.9953131951283
101,9099.645831206823,1400.0378261717174,1337.9163133984478,1916.581991272769
102,9099.645817168983,1400.0378113608535,1718.516312232998,2024.0808249248812
103,9099.645802917616,1400.037796524953,2099.116311002739,2127.4436448276333
104,9099.64579774844,1400.037790826522,2367.1855626324946,2213.736979502301
105,9099.645792589807,1400.0377851607047,2582.3062347218547,2280.277558842838
106,9099.645790807132,1400.0377831800795,2574.1962492575562,2339.4478021068776
107,9099.645785544317,1400.037777421762,2637.448197142955,2389.7396243833314
108,9099.645780288034,1400.0377716743758,2671.409658985693,2432.209216822532
109,9099.645778502889,1400.0377696949681,2660.2235534937604,2464.8657042138134
110,9099.64577670063,1400.0377676940236,2444.9810375630655,2481.7822668646077
111,9099.645774897337,1400.037765698237,2194.0910001371685,2491.6478801937646
112,9099.645773045979,1400.0377636755222,2009.0838503312984,2499.956712699688
113,9099.645771127907,1400.0377615530342,1623.9116886826437,2498.4586320240114
114,9099.645770817075,1400.0377610649311,1115.2413289873516,2494.779181986632
115,9099.645770504178,1400.0377605774163,606.5709692903463,2487.3306760740993
116,9099.645768606439,1400.0377584615112,217.64822246811488,2483.368266205354
117,9099.645766813734,1400.0377564591456,32.70732204561296,2486.3849017822836
118,9099.645765078121,1400.0377544952003,9.68688452716643e-07,2492.714765184336
119,9099.645752709097,1400.0377413148506,334.942707735318,2551.039076185183
120,9099.64574332225,1400.0377312790554,715.5426648828361,2631.2958595236532
121,9099.645733979183,1400.0377212637297,1096.1426224161955,2718.949080785686
122,9099.645724717971,1400.0377112881713,1476.742580050077,2813.3016131054483
123,9099.645715508199,1400.0377013453137,1857.3425377053127,2884.4095948619847
124,9099.645706400635,1400.0376914576314,2237.9424954210513,2970.9502501621696
125,9099.645697324493,1400.0376816683852,2618.5424533855075,3063.3569691723865
126,9099.645688238612,1400.0376719447395,2999.142411349127,3150.2831385192544
127,9099.645678723109,1400.0376618765065,3379.7423642779577,3214.352381520872
128,9099.645664888038,1400.0376476005613,3760.3378389668123,3259.363356188004
129,9099.645650883069,1400.0376332644162,4111.409504397755,3294.8325756431705
130,9099.64563699392,1400.0376190620223,4428.117980294472,3323.7646984141807
131,9099.645623159853,1400.0376049743106,4738.996728104503,3350.180179636189
132,9099.645609413321,1400.0375909856295,5041.291873006945,3366.531995701653
133,9099.645595837119,1400.0375770884164,5254.628215929468,3399.589075683506
134,9099.64558246311,1400.0375632855958,5289.870558708248,3402.365956969911
135,9099.645569217697,1400.0375497466875,5420.448958464263,3393.416072188712
136,9099.645555814743,1400.0375361622976,5595.939639427915,3373.4044811983686
137,9099.645553054921,1400.0375331579996,5139.104458362178,3329.2571796697057
138,9099.645552748085,1400.0375326878595,4630.434098632868,3290.1386586428157
139,9099.645552443184,1400.0375322158573,4121.7637388993135,3254.3727560387183
140,9099.645552151474,1400.0375317383266,3613.093379157632,3224.284310651369
