,Grid
535,-27.95
536,-24.8
537,-31.1
538,-31.1
539,-30.049999999999997
540,-23.75
541,-23.75
542,-23.75
543,-23.75
544,-20.6
545,-8.5
546,-11.800000000000004
547,-8.0
548,-8.0
549,-12.200000000000003
550,-10.099999999999994
551,-9.25
552,-8.650000000000006
553,-9.450000000000003
554,-11.150000000000006
555,-13.25
556,-18.5
557,-18.5
558,-15.350000000000001
559,-13.450000000000003
560,-10.154761899999997
561,6.6452381
562,19.04523809999999
563,19.445238099999997
564,15.8952381
565,-1.7547619000000054
566,-62.0047619
567,-8.0
568,-9.349999999999994
569,-9.349999999999994
570,-7.350000000000001
571,-7.899999999999999
572,-11.800000000000004
573,-16.0
574,-24.5
575,-27.1
576,-25.85
577,-16.1
578,-21.0
579,-29.0
580,-22.3
581,-25.0
582,-22.7
583,-29.0
584,-22.7
585,-23.75
586,-21.25
587,-18.799999999999997
588,-12.700000000000003
589,-9.600000000000001
590,-7.599999999999994
591,-2.75
592,-5.399999999999999
593,-5.399999999999999
594,-7.350000000000001
595,-11.450000000000003
596,-8.399999999999999
597,-11.549999999999997
598,-10.399999999999999
599,-9.349999999999994
600,-10.099999999999994
601,-10.099999999999994
602,-9.450000000000003
603,-9.450000000000003
604,-10.950000000000003
605,-10.950000000000003
606,-16.4
607,-6.849999999999994
608,-7.004761899999998
609,1.3952381000000003
610,5.595238100000003
611,5.595238100000003
612,-2.3047619000000026
613,-5.204761900000001
614,-70.3047619
615,-8.399999999999999
616,-8.75
617,-11.700000000000003
618,-12.200000000000003
619,-21.099999999999998
620,-14.300000000000004
621,-32.150000000000006
622,-23.75
623,-32.05
624,-41.7
625,-31.95
626,-34.25
627,-43.4
628,-47.9
629,-47.9
630,-47.9
631,-49.8
632,-40.55
633,-39.6
634,-29.0
635,-22.3
636,-21.65
637,-17.450000000000003
638,-12.700000000000003
639,-5.049999999999997
640,-11.049999999999997
641,-8.0
642,-9.450000000000003
643,-8.0
644,-9.450000000000003
645,-13.799999999999997
646,-8.0
647,-7.899999999999999
648,-8.099999999999994
649,-7.899999999999999
650,-6.849999999999994
651,-4.200000000000003
652,-6.950000000000003
653,-11.700000000000003
654,-13.149999999999999
655,-1.3999999999999986
656,-5.754761899999998
657,13.995238099999995
658,11.8952381
659,11.3952381
660,5.595238100000003
661,-0.7047619000000012
662,-66.7547619
663,-11.450000000000003
664,-8.099999999999994
665,-13.25
666,-8.0
667,-21.95
668,-18.5
669,-33.3
670,-22.7
671,-31.1
672,-34.25
673,-29.0
674,-23.650000000000002
675,-34.25
676,-30.8
677,-39.5
678,-29.950000000000003
679,-39.5
680,-25.65
681,-29.0
682,-25.85
683,-14.300000000000004
684,-27.95
685,-15.350000000000001
686,-11.150000000000006
687,-2.8500000000000014
688,-0.6500000000000057
689,-2.1999999999999957
690,-3.799999999999997
691,-5.049999999999997
692,-8.0
693,-10.850000000000001
694,-10.600000000000001
695,-12.200000000000003
696,-13.25
697,-15.350000000000001
698,-14.300000000000004
699,-16.4
700,-15.550000000000004
701,-18.5
702,-16.4
703,-9.149999999999999
704,-1.7547619000000054
705,11.8952381
706,10.545238099999999
707,12.945238100000005
708,9.795238099999999
709,3.295238100000006
710,-59.5047619
711,-5.899999999999999
712,-9.699999999999996
713,-12.200000000000003
714,-11.450000000000003
715,-18.5
716,-11.899999999999999
717,-31.1
718,-21.65
719,-25.85
720,-23.75
721,-18.900000000000002
722,-16.4
723,-23.75
724,-20.6
725,-23.75
726,-20.6
727,-23.75
728,-23.2
729,-23.75
730,-18.5
