,Moyle,IFA,IFA2,NSL,ElecLink,GridLink,NorthConnect,FAB Link
96,-415.4033995385655,-1919.4362767154794,27.803672099625373,-2366.2243229978567,1750.0,169.43627671547938,2366.2243229978567,-27.803672099625373
97,-399.8431947502239,-1913.7121592415679,26.240397108398838,-2347.6703119948315,1750.0,163.71215924156786,2347.6703119948315,-26.240397108398838
98,-370.0616904249858,-1902.6299292872386,23.292654470651996,-2338.0335858378767,1750.0,152.6299292872386,2338.0335858378767,-23.292654470651996
99,-359.6681940993743,-1907.0953844534156,24.67146708057635,-2315.803355828903,1750.0,157.0953844534156,2315.803355828903,-24.67146708057635
100,-359.33000728115144,-1915.908266549236,27.09303424425957,-2285.901629597766,1750.0,165.90826654923603,2285.901629597766,-27.09303424425957
101,-359.1603442602611,-1920.5085269472638,28.251462534561824,-2253.350615325691,1750.0,170.50852694726382,2253.350615325691,-28.251462534561824
102,-352.99921472835183,-1921.9149191433476,29.124525170667994,-2230.8115458474394,1750.0,171.91491914334756,2230.8115458474394,-29.124525170667994
103,-352.56834881692237,-1933.053210218262,33.25869878943945,-2222.5042899225286,1750.0,183.05321021826194,2222.5042899225286,-33.25869878943945
104,-381.92983771499405,-1939.953154488786,35.58383955926024,-2240.1064579805497,1750.0,189.9531544887859,2240.1064579805497,-35.58383955926024
105,-410.51978023919753,-1942.9170535792423,36.890285882223,-2274.746204638469,1750.0,192.9170535792423,2274.746204638469,-36.890285882223
106,-498.11289329278236,-1932.7966728173083,34.01327485025536,-2300.303379903063,1750.0,182.79667281730826,2300.303379903063,-34.01327485025536
107,-516.8507618866746,-1915.3683837356189,21.392823724232812,-2305.5514995102926,1750.0,165.36838373561886,2305.5514995102926,-21.392823724232812
108,-561.0773344153823,-1906.2812468874258,14.096973923133646,-2295.4282962170973,1750.0,156.28124688742582,2295.4282962170973,-14.096973923133646
109,-609.8172547031917,-1899.0456503025553,5.150230628800955,-2289.3649665561816,1750.0,149.04565030255526,2289.3649665561816,-5.150230628800955
110,-659.8149348627848,-1919.3540098899898,11.020504316855522,-2292.974836680999,1750.0,169.3540098899898,2292.974836680999,-11.020504316855522
111,-667.1275830603047,-1933.15702492546,19.924148822196685,-2315.7188136479567,1750.0,183.15702492546006,2315.7188136479567,-19.924148822196685
112,-617.0844258161578,-1933.5063743591845,5.951748664223942,-2354.3888798297658,1750.0,183.50637435918452,2354.3888798297658,-5.951748664223942
113,-613.1461983218462,-1995.5545320780916,58.280930660103195,-2391.7448394621974,1750.0,245.5545320780916,2391.7448394621974,-58.280930660103195
114,-675.2418827738503,-1991.366489541283,57.65978598601987,-2397.0540027051698,1750.0,241.36648954128304,2397.0540027051698,-57.65978598601987
115,-674.9777752547071,-1980.8502907748198,53.83996305190499,-2396.217105048118,1750.0,230.85029077481977,2396.217105048118,-53.83996305190499
116,-597.4119595592779,-1975.0960631110215,51.52394859609058,-2384.121129401346,1750.0,225.09606311102152,2384.121129401346,-51.52394859609058
117,-559.0617695737292,-1965.911257155965,48.80088777581318,-2359.2913427016606,1750.0,215.9112571559649,2359.2913427016606,-48.80088777581318
118,-554.05568466606,-1953.8324171115273,46.54462080369899,-2340.9608299392885,1750.0,203.83241711152732,2340.9608299392885,-46.54462080369899
119,-464.5124430234264,-1947.6094818990964,41.56018952835757,-2300.7063306742425,1750.0,197.6094818990964,2300.7063306742425,-41.56018952835757
120,-391.0081200500022,-1945.4594777153757,36.839192809762835,-2199.9529772111196,1750.0,195.45947771537567,2199.9529772111196,-36.839192809762835
121,-382.34529439060145,-1942.6825840914094,34.04002791178368,-2069.7533111975176,1750.0,192.68258409140935,2069.7533111975176,-34.04002791178368
