,snapshot,objective,stores,generators
597,2045-01-25 21:00:00,1,1,1
598,2045-01-25 22:00:00,1,1,1
599,2045-01-25 23:00:00,1,1,1
600,2045-01-26 00:00:00,1,1,1
601,2045-01-26 01:00:00,1,1,1
602,2045-01-26 02:00:00,1,1,1
603,2045-01-26 03:00:00,1,1,1
604,2045-01-26 04:00:00,1,1,1
605,2045-01-26 05:00:00,1,1,1
606,2045-01-26 06:00:00,1,1,1
607,2045-01-26 07:00:00,1,1,1
608,2045-01-26 08:00:00,1,1,1
609,2045-01-26 09:00:00,1,1,1
610,2045-01-26 10:00:00,1,1,1
611,2045-01-26 11:00:00,1,1,1
612,2045-01-26 12:00:00,1,1,1
613,2045-01-26 13:00:00,1,1,1
614,2045-01-26 14:00:00,1,1,1
615,2045-01-26 15:00:00,1,1,1
616,2045-01-26 16:00:00,1,1,1
617,2045-01-26 17:00:00,1,1,1
618,2045-01-26 18:00:00,1,1,1
619,2045-01-26 19:00:00,1,1,1
620,2045-01-26 20:00:00,1,1,1
621,2045-01-26 21:00:00,1,1,1
622,2045-01-26 22:00:00,1,1,1
623,2045-01-26 23:00:00,1,1,1
624,2045-01-27 00:00:00,1,1,1
625,2045-01-27 01:00:00,1,1,1
626,2045-01-27 02:00:00,1,1,1
627,2045-01-27 03:00:00,1,1,1
628,2045-01-27 04:00:00,1,1,1
629,2045-01-27 05:00:00,1,1,1
630,2045-01-27 06:00:00,1,1,1
631,2045-01-27 07:00:00,1,1,1
632,2045-01-27 08:00:00,1,1,1
633,2045-01-27 09:00:00,1,1,1
634,2045-01-27 10:00:00,1,1,1
635,2045-01-27 11:00:00,1,1,1
636,2045-01-27 12:00:00,1,1,1
637,2045-01-27 13:00:00,1,1,1
638,2045-01-27 14:00:00,1,1,1
639,2045-01-27 15:00:00,1,1,1
640,2045-01-27 16:00:00,1,1,1
641,2045-01-27 17:00:00,1,1,1
642,2045-01-27 18:00:00,1,1,1
643,2045-01-27 19:00:00,1,1,1
644,2045-01-27 20:00:00,1,1,1
645,2045-01-27 21:00:00,1,1,1
646,2045-01-27 22:00:00,1,1,1
647,2045-01-27 23:00:00,1,1,1
648,2045-01-28 00:00:00,1,1,1
649,2045-01-28 01:00:00,1,1,1
650,2045-01-28 02:00:00,1,1,1
