,IFA,IFA2,NSL,ElecLink,GridLink,NorthConnect,FAB Link
234,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
235,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
236,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
237,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
238,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
239,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
240,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
241,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
242,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
243,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
244,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
245,1980.0,990.0,1386.0,-594.0,-1386.0,-1386.0,-990.0
246,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
247,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
248,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
249,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
250,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
251,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
252,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
253,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
254,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
255,1980.0,-990.0,1386.0,-594.0,-1386.0,-1386.0,990.0
256,1980.0,-990.0,1386.0,-594.0,-1386.0,-1386.0,990.0
257,1980.0,-990.0,1386.0,-594.0,-1386.0,-1386.0,990.0
258,1980.0,-990.0,1386.0,-594.0,-1386.0,-1386.0,990.0
259,1980.0,-990.0,1386.0,-594.0,-1386.0,-1386.0,990.0
