,Interconnector Deeside,Interconnector Sellindge,Interconnector Neilston,Interconnector Kemsley
2220,0.84,0.3774999953125,0.13416667,0.23681818
2221,0.84,0.498281250625,0.13666667,0.1809091
2222,0.84,0.5385937618750001,0.13666667,0.20954545
2223,0.84,0.5970312412500001,0.135,0.8259091
2224,0.84,0.6128125062499999,0.135,0.96
2225,0.84,0.623281263125,0.135,0.9613636
2226,0.84,0.6235937662500001,0.135,0.96181816
2227,0.84,0.623750014375,0.135,0.9622727
2228,0.84,0.6234375146875,0.135,0.96181816
2229,0.84,0.540624991875,0.135,0.91
2230,0.84,0.2301562624374999,0.135,0.9086364
2231,0.84,0.4092187553125,0.1825,0.86545455
2232,0.84,0.4601562503124999,0.18666667,0.79636365
2233,0.84,0.5156250137499999,0.18666667,0.8404545
2234,0.84,0.533906253125,0.18666667,0.8413636
2235,0.84,0.5423437509375,0.18666667,0.79045457
2236,0.84,0.54140624375,0.17916666,0.81136364
2237,0.84,0.3254687603125,0.18583333,0.69045454
2238,0.84,0.2245312611875,0.18666667,0.8586364
2239,0.82166666,0.5209374993749999,0.18666667,0.47181818
2240,0.5491667,0.5312500112499999,0.18666667,0.94863635
2241,0.39,0.5314062578125001,0.18666667,0.85636365
2242,0.36583334,0.523281259375,0.18666667,0.8545455
2243,0.0975,0.5151562456250001,0.0,0.9422727
2244,0.0016666667,0.3824999828125,0.0,0.95863634
2245,0.0,0.3835937578124999,0.0,0.36227274
2246,0.0,0.383750014375,0.0,0.5109091
2247,0.0,0.561874999375,0.0,0.13090909
2248,0.0,0.4590624803125,0.0,0.0
2249,0.0,0.5593749990625,0.0,0.4640909
2250,0.0,0.47781250875,0.0,0.8309091
2251,0.0,0.5392187696874999,0.0,0.95863634
2252,0.0,0.5375000146875,0.0,0.9613636
2253,0.0,0.30437499453125,0.0,0.9109091
2254,0.0,0.506875005625,0.0,0.90909094
2255,0.0,0.41765626125,0.0,0.8213636
2256,0.0,0.21562499728125,0.0,0.61727273
2257,0.06,0.2484374943749999,0.165,0.6454545
2258,0.40416667,0.2846875121875,0.20166667,0.7295455
2259,0.32166666,0.4665624959375,0.20166667,0.6618182
2260,0.62416667,0.2931250140625,0.20166667,0.4522727
2261,0.83666664,0.2504687444062499,0.20166667,0.80954546
2262,0.7008333,0.18999999375,0.17416666,0.23590909
2263,0.23166667,0.2425000021687499,0.0,0.5863636
2264,0.0,0.357968738125,0.0,0.95363635
2265,0.0,0.4185937559375,0.0,0.96090907
2266,0.0,0.319999996875,0.0,0.96090907
2267,0.0,0.284687515,0.0,0.9622727
