,Beauly,Peterhead,Errochty,Denny/Bonnybridge,Neilston,Strathaven,Torness,Eccles,Harker,Stella West,Penwortham,Deeside,Daines,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Keadby,Ratcliffe,Feckenham,Walpole,Bramford,Pelham,Sundon/East Claydon,Melksham,Bramley,London,Kemsley,Sellindge,Lovedean,S.W.Penisula,Netherlands,Belgium,France1,France2,Ireland,N. Ireland
51,171.08727,241.23276,85.05975,634.02704,748.8671,217.72879,193.07573,55.61281,262.32437,1588.5563,805.9835,1726.4272,1752.6937,1398.4547,1273.7638,457.00058,1104.1882,2247.513,616.223,772.16974,469.9804,1580.2686,2315.9778,725.26086,4981.6875,868.9136,445.30786,1201.8094,1459.3047,-0.0,-0.0,-0.0,1.0,535.5,352.5
52,168.83054,238.05075,83.93777,625.6638,738.98914,214.85681,190.52895,54.879242,258.86414,1567.6023,795.3522,1703.6547,1729.5747,1380.0083,1256.962,450.97247,1089.6233,2217.867,608.09467,761.9844,463.7811,1559.424,2285.4287,715.6943,4915.9766,857.4521,439.434,1185.9568,1440.0557,-0.0,-0.0,-0.0,1.0,535.5,451.0
53,166.63289,234.95207,82.84516,617.51965,729.3698,212.06004,188.04886,54.164886,255.49454,1547.197,784.99915,1681.4784,1707.061,1362.0449,1240.6003,445.10223,1075.4398,2188.997,600.1792,752.06573,457.7441,1539.125,2255.6794,706.3782,4851.986,846.2908,433.71393,1170.5194,1421.3105,-0.0,-0.0,-0.0,1.0,536.0,455.0
54,172.00742,242.53015,85.51722,637.43695,752.8947,218.89978,194.11414,55.911903,263.7352,1597.0999,810.3183,1735.7123,1762.1201,1405.9758,1280.6143,459.4584,1110.1267,2259.6003,619.5372,776.32263,472.50806,1588.7676,2328.4336,729.16144,5008.48,873.5868,447.70282,1208.273,1467.1531,-0.0,-0.0,-0.0,1.0,501.0,360.0
55,185.61537,261.71738,92.282715,687.8663,812.4582,236.21751,209.47102,60.335243,284.59998,1723.4507,874.42474,1873.0292,1901.5261,1517.2064,1381.9271,495.8074,1197.9519,2438.3635,668.5504,837.7396,509.88943,1714.4592,2512.642,786.8474,5404.7144,942.69855,483.1218,1303.8627,1583.2235,-0.0,-0.0,-0.0,1.0,307.5,151.0
56,212.7272,299.94498,105.76195,788.3392,931.1295,270.72052,240.0673,69.14809,326.16995,1975.1857,1002.14716,2146.6123,2179.2717,1738.8164,1583.7777,568.2273,1372.9302,2794.522,766.2019,960.10364,584.36615,1964.8809,2879.6501,901.7779,6194.1514,1080.3933,553.6887,1494.3108,1814.4763,138.0,-0.0,-0.0,1.0,472.5,296.0
57,230.82895,325.4684,114.76163,855.4219,1010.3628,293.75714,260.4955,75.03215,353.92496,2143.2615,1087.4236,2329.2754,2364.714,1886.7788,1718.5472,616.57983,1489.7578,3032.318,831.4009,1041.8025,634.09204,2132.0798,3124.6902,978.5135,6721.235,1172.328,600.80414,1621.4672,1968.8768,304.5,-0.0,-0.0,1.0,337.0,411.5
58,242.1239,341.3943,120.37716,897.2795,1059.802,308.1313,273.24213,78.703636,371.24326,2248.136,1140.6335,2443.252,2480.4246,1979.1029,1802.6394,646.7504,1562.6549,3180.696,872.0831,1092.78,665.11957,2236.407,3277.588,1026.3943,7050.119,1229.6925,630.20276,1700.8091,2065.2183,388.5,-0.0,-0.0,1.0,505.5,446.5
59,246.73586,347.89716,122.6701,914.3708,1079.989,314.00058,278.4468,80.202774,378.3147,2290.9583,1162.3602,2489.7908,2527.6714,2016.8007,1836.976,659.0697,1592.4203,3241.2817,888.6945,1113.5952,677.7887,2279.006,3340.0193,1045.945,7184.4097,1253.1157,642.20685,1733.2059,2104.5564,496.5,-0.0,-0.0,1.0,535.0,455.0
60,253.10931,356.8837,125.8388,937.99,1107.8864,322.11154,285.6394,82.274506,388.08698,2350.1362,1192.3854,2554.105,2592.964,2068.897,1884.427,676.0942,1633.5542,3325.0076,911.65045,1142.3606,695.29675,2337.8752,3426.2957,1072.9629,7369.9907,1285.485,658.7958,1777.9766,2158.9194,104.5,-0.0,-0.0,1.0,536.0,455.0
